"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MARUTI","EQ","01-Apr-2020","       4288.30","       4290.00","       4424.85","       4190.10","       4229.00","       4246.35","       4273.79","    1323857","          5657889879.15","     147374","     325257","         24.57"
"MARUTI","EQ","03-Apr-2020","       4246.35","       4250.00","       4267.00","       4001.10","       4011.50","       4011.50","       4099.78","    1724863","          7071562250.80","     174626","     641298","         37.18"
"MARUTI","EQ","07-Apr-2020","       4011.50","       4150.00","       4612.90","       4120.00","       4525.95","       4553.65","       4325.97","    2688425","         11630036387.35","     257463","    1196696","         44.51"
"MARUTI","EQ","08-Apr-2020","       4553.65","       4406.50","       4925.00","       4406.50","       4700.00","       4698.10","       4702.68","    2798838","         13162032684.55","     252470","     672515","         24.03"
"MARUTI","EQ","09-Apr-2020","       4698.10","       4794.45","       5399.00","       4736.20","       5350.00","       5326.65","       5116.97","    3786661","         19376215716.55","     310721","    1317700","         34.80"
"MARUTI","EQ","13-Apr-2020","       5326.65","       5285.00","       5343.40","       5001.00","       5270.00","       5283.15","       5166.27","    2192269","         11325858702.60","     221195","     340627","         15.54"
"MARUTI","EQ","15-Apr-2020","       5283.15","       5307.50","       5350.00","       5041.00","       5090.00","       5094.30","       5211.13","    2094529","         10914872831.65","     195907","     584118","         27.89"
"MARUTI","EQ","16-Apr-2020","       5094.30","       5017.00","       5228.00","       4970.00","       5148.00","       5130.80","       5112.87","    1752170","          8958615439.60","     161573","     334200","         19.07"
"MARUTI","EQ","17-Apr-2020","       5130.80","       5325.00","       5602.95","       5211.70","       5579.00","       5505.00","       5357.87","    2192907","         11749309949.15","     188848","     623330","         28.42"
"MARUTI","EQ","20-Apr-2020","       5505.00","       5512.00","       5573.95","       5280.00","       5297.30","       5331.35","       5390.28","    1555313","          8383579546.40","     133978","     274417","         17.64"
"MARUTI","EQ","21-Apr-2020","       5331.35","       5131.30","       5131.30","       4884.50","       5009.95","       5001.10","       5001.21","    1843174","          9218104936.15","     174888","     547983","         29.73"
"MARUTI","EQ","22-Apr-2020","       5001.10","       5009.00","       5248.25","       4991.00","       5168.00","       5180.85","       5134.59","    1991789","         10227014548.90","     161876","     343528","         17.25"
"MARUTI","EQ","23-Apr-2020","       5180.85","       5169.00","       5244.60","       5045.00","       5160.00","       5156.35","       5172.04","    1454065","          7520481407.15","     105193","     205914","         14.16"
"MARUTI","EQ","24-Apr-2020","       5156.35","       5100.00","       5140.00","       5030.00","       5050.00","       5045.65","       5082.53","    1070905","          5442908928.55","      79318","     118072","         11.03"
"MARUTI","EQ","27-Apr-2020","       5045.65","       5150.10","       5225.00","       4991.55","       5056.40","       5056.35","       5126.94","    1432342","          7343531404.50","     114838","     306046","         21.37"
"MARUTI","EQ","28-Apr-2020","       5056.35","       5090.00","       5120.00","       4990.25","       5050.10","       5052.70","       5039.02","    1172062","          5906042783.00","     104156","     348077","         29.70"
"MARUTI","EQ","29-Apr-2020","       5052.70","       5100.00","       5100.00","       5011.05","       5055.00","       5068.45","       5059.57","    1038100","          5252340581.75","      85789","     273732","         26.37"
"MARUTI","EQ","30-Apr-2020","       5068.45","       5122.00","       5425.00","       5122.00","       5343.00","       5358.80","       5331.09","    2341400","         12482215133.05","     239910","     685598","         29.28"
"MARUTI","EQ","04-May-2020","       5358.80","       5096.00","       5130.25","       4840.00","       4914.45","       4886.30","       4947.33","    1742871","          8622560854.95","     176618","     593271","         34.04"
"MARUTI","EQ","05-May-2020","       4886.30","       4995.00","       5029.55","       4800.00","       4835.00","       4829.85","       4879.35","    1570620","          7663601550.40","     122623","     352042","         22.41"
"MARUTI","EQ","06-May-2020","       4829.85","       4841.20","       5000.00","       4710.00","       4841.95","       4843.25","       4854.89","    2214534","         10751328639.55","     144640","     640252","         28.91"
"MARUTI","EQ","07-May-2020","       4843.25","       4899.50","       4935.35","       4735.00","       4751.65","       4749.30","       4828.35","    1530824","          7391354582.95","     120915","     360437","         23.55"
